City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
127,Coquimbo,CL,2020-04-19 15:49:08,-29.95,-71.34,57.2,93,90,10.29,mist,0.0,0.0
128,Armizonskoye,RU,2020-04-19 15:56:15,55.95,67.67,48.13,50,23,6.85,few clouds,0.0,0.0
129,Aswan,EG,2020-04-19 15:56:15,24.09,32.91,88.95,12,0,5.82,clear sky,0.0,0.0
130,Severo-Kurilsk,RU,2020-04-19 15:54:40,50.68,156.12,26.64,91,15,16.26,few clouds,0.0,0.0
131,Grand-Santi,GF,2020-04-19 15:54:58,4.25,-54.38,89.8,56,84,3.4,light rain,0.7,0.0
132,Aksarayskiy,RU,2020-04-19 15:56:16,46.79,48.01,64.4,27,78,2.24,broken clouds,0.0,0.0
133,Klaksvik,FO,2020-04-19 15:54:25,62.23,-6.59,48.2,76,0,11.41,clear sky,0.0,0.0
134,Fort Frances,CA,2020-04-19 15:56:16,48.6,-93.4,30.99,36,1,10.29,clear sky,0.0,0.0
135,Victoria,HK,2020-04-19 15:50:18,22.29,114.16,77.0,83,78,5.99,broken clouds,0.0,0.0
136,Biaora,IN,2020-04-19 15:56:17,23.87,76.92,87.42,14,57,4.5,broken clouds,0.0,0.0
137,Clyde River,CA,2020-04-19 15:55:01,70.47,-68.59,1.4,77,75,4.68,broken clouds,0.0,0.0
138,Shizunai,JP,2020-04-19 15:54:53,42.33,142.37,40.03,69,43,9.28,scattered clouds,0.0,0.0
139,Salalah,OM,2020-04-19 15:54:30,17.02,54.09,84.2,70,40,8.05,scattered clouds,0.0,0.0
140,Ponta Do Sol,PT,2020-04-19 15:54:04,32.67,-17.1,69.01,48,21,5.99,few clouds,0.0,0.0
141,Ribeira Grande,PT,2020-04-19 15:52:51,38.52,-28.7,62.6,63,40,25.28,scattered clouds,0.0,0.0
142,Lagoa,PT,2020-04-19 15:49:41,39.05,-27.98,58.28,66,24,32.84,light rain,0.52,0.0
143,San Blas,MX,2020-04-19 15:56:18,21.52,-105.27,73.4,56,75,3.38,broken clouds,0.0,0.0
144,Arraial Do Cabo,BR,2020-04-19 15:53:53,-22.97,-42.03,78.8,65,20,8.05,few clouds,0.0,0.0
145,Alamos,MX,2020-04-19 15:56:19,27.02,-108.93,74.98,44,5,2.98,clear sky,0.0,0.0
146,Labuhan,ID,2020-04-19 15:45:39,-6.88,112.21,81.27,79,54,2.77,light rain,0.63,0.0
147,Hasaki,JP,2020-04-19 15:50:31,35.73,140.83,48.2,87,75,11.41,light intensity shower rain,0.0,0.0
148,Mulki,IN,2020-04-19 15:56:20,13.1,74.8,86.0,74,20,3.36,few clouds,0.0,0.0
149,Behbahan,IR,2020-04-19 15:56:20,30.6,50.24,77.0,38,75,8.19,broken clouds,0.0,0.0
150,San Cristobal,VE,2020-04-19 15:49:13,7.77,-72.22,84.2,62,40,2.24,smoke,0.0,0.0
151,Baykit,RU,2020-04-19 15:56:20,61.67,96.37,25.68,91,0,2.48,clear sky,0.0,0.0
152,Souillac,MU,2020-04-19 15:54:07,-20.52,57.52,77.0,73,40,11.41,scattered clouds,0.0,0.0
153,Bambanglipuro,ID,2020-04-19 15:55:51,-7.95,110.28,80.35,78,81,2.44,light rain,1.24,0.0
154,Peleduy,RU,2020-04-19 15:56:21,59.63,112.74,15.12,91,10,3.24,clear sky,0.0,0.0
155,Corinto,GR,2020-04-19 15:56:21,37.94,22.96,79.0,43,100,5.82,overcast clouds,0.0,0.0
156,Mirnyy,RU,2020-04-19 15:56:22,62.54,113.96,17.6,67,38,6.71,scattered clouds,0.0,0.0
157,The Valley,AI,2020-04-19 15:54:22,18.22,-63.06,86.0,58,40,10.29,scattered clouds,0.0,0.0
158,Carnarvon,AU,2020-04-19 15:53:57,-24.87,113.63,75.2,78,62,13.87,broken clouds,0.0,0.0
159,Wuwei,CN,2020-04-19 15:56:22,37.93,102.64,54.0,27,98,8.05,overcast clouds,0.0,0.0
160,Mortka,RU,2020-04-19 15:56:22,59.33,66.02,41.34,74,38,5.44,scattered clouds,0.0,0.0
161,Japura,ID,2020-04-19 15:56:23,-0.32,102.35,76.37,92,1,2.17,light rain,0.25,0.0
162,Ukrayinka,UA,2020-04-19 15:56:23,47.92,35.35,57.2,33,97,8.95,overcast clouds,0.0,0.0
163,Chokurdakh,RU,2020-04-19 15:53:51,70.63,147.92,7.5,95,100,10.13,overcast clouds,0.0,0.0
164,Korla,CN,2020-04-19 15:47:07,41.76,86.15,62.8,24,100,4.38,overcast clouds,0.0,0.0
165,Luganville,VU,2020-04-19 15:53:45,-15.53,167.17,75.2,100,90,1.12,shower rain,0.0,0.0
166,Ahipara,NZ,2020-04-19 15:52:51,-35.17,173.17,61.74,75,100,4.0,light rain,0.18,0.0
167,Mehamn,NO,2020-04-19 15:49:03,71.04,27.85,39.2,93,90,10.29,light intensity drizzle,0.0,0.0
