City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Lingyuan,CN,2020-04-18 21:45:18,41.24,119.4,51.8,41,100,6.35
257,Vila Franca Do Campo,PT,2020-04-18 21:45:19,37.72,-25.43,62.6,93,75,13.87
258,Lorengau,PG,2020-04-18 21:45:19,-2.02,147.27,82.47,74,3,3.04
259,Huarmey,PE,2020-04-18 21:45:19,-10.07,-78.15,77.97,63,18,9.91
260,Hirara,JP,2020-04-18 21:42:22,24.8,125.28,74.17,87,100,16.73
261,Bentiu,SS,2020-04-18 21:45:20,9.23,29.83,87.55,11,89,3.09
262,Mangrol,IN,2020-04-18 21:45:20,21.12,70.12,80.4,66,4,10.94
263,Naze,JP,2020-04-18 21:45:20,28.37,129.48,68.0,82,90,5.82
264,Tilichiki,RU,2020-04-18 21:45:21,60.47,166.1,7.43,90,0,10.0
265,Winona,US,2020-04-18 21:45:21,43.97,-91.77,68.0,30,1,8.05
266,Sisophon,KH,2020-04-18 21:45:21,13.59,102.97,80.69,75,21,4.61
267,Kamina,CD,2020-04-18 21:45:22,-8.74,24.99,65.23,68,98,1.43
268,Sicamous,CA,2020-04-18 21:45:22,50.83,-118.99,53.01,75,95,2.01
269,Yulara,AU,2020-04-18 21:45:22,-25.24,130.99,64.4,48,32,6.93
270,Chokurdakh,RU,2020-04-18 21:45:22,70.63,147.92,-6.72,88,100,8.59
271,Daru,PG,2020-04-18 21:45:23,-9.08,143.21,79.34,86,30,7.56
272,Yerbogachen,RU,2020-04-18 21:45:23,61.28,108.01,9.88,91,3,5.57
273,Vostok,RU,2020-04-18 21:45:23,46.49,135.88,36.91,71,41,3.8
274,Saldanha,ZA,2020-04-18 21:45:23,-33.01,17.94,66.2,39,92,3.36
275,Leningradskiy,RU,2020-04-18 21:45:24,69.38,178.42,2.21,88,6,7.49
276,Namatanai,PG,2020-04-18 21:45:24,-3.67,152.43,81.72,77,95,4.21
277,Shizunai,JP,2020-04-18 21:45:24,42.33,142.37,43.23,75,100,7.45
278,Komsomolskiy,UZ,2020-04-18 21:45:25,40.43,71.72,53.6,66,4,2.24
279,Husavik,IS,2020-04-18 21:44:55,66.04,-17.34,44.6,75,75,27.51
280,Guerrero Negro,MX,2020-04-18 21:45:25,27.98,-114.06,66.88,54,0,20.78
281,Noyabrsk,RU,2020-04-18 21:45:26,63.2,75.45,41.45,92,100,16.17
282,Damavand,IR,2020-04-18 21:45:02,35.72,52.06,59.0,41,99,4.7
283,Bukama,CD,2020-04-18 21:40:43,-9.2,25.85,71.1,74,99,2.01
284,Merauke,ID,2020-04-18 21:45:27,-8.47,140.33,76.98,89,100,9.26
285,Trinidad,BO,2020-04-18 21:45:27,-14.83,-64.9,82.4,45,1,8.05
286,Sibolga,ID,2020-04-18 21:45:28,1.74,98.78,77.31,80,100,2.73
287,Carutapera,BR,2020-04-18 21:45:28,-1.2,-46.02,80.11,82,83,5.26
288,Rio Gallegos,AR,2020-04-18 21:44:13,-51.62,-69.22,59.0,30,87,21.92
289,Fairbanks,US,2020-04-18 21:45:29,64.84,-147.72,42.01,100,90,2.17
290,Port Hedland,AU,2020-04-18 21:45:29,-20.32,118.57,75.2,100,99,6.93
291,Elko,US,2020-04-18 21:45:29,41.0,-115.5,63.0,10,0,14.0
292,Ulagan,RU,2020-04-18 21:45:29,50.63,87.96,32.81,49,0,3.71
293,Tura,IN,2020-04-18 21:45:29,25.52,90.22,66.11,75,10,2.73
